Review_ID,Header,Date,Header_Tags,Perks_Tags,Rating_Data,Review_Text,Helpful_Count,Employer_Response_Date,Employer_Response_Title,Employer_Response_Msg,Review_Link
review2031687,Специалист по логистике,Октябрь 2023,"['Бывший сотрудник', 'Стаж в компании: 3-5 лет', 'Люберцы']","['Своевременная оплата труда', 'Удобное расположение работы', 'Наличие кухни, места для обеда', 'Оплата больничного', 'Место для парковки', 'Система наставничества']","rating|4,5,5,5,3,5","Отличное руководство, карьерный рост, чистое, тёплое помещение, выдача спец одежды, условия труда, скидки на товар, если не понимаешь, объяснят, научат<separator>Туалеты на самом складу",2,Октябрь 2023,Ответ представителя компании,"Добрый день!
Спасибо за оставленный отзыв. Мы прислушиваемся к вам и улучшаем взаимодействие внутри компании. Будем благодарны, если поделитесь более подробной информацией об условиях - anastasiya.ochkina@vseinstrumenti.ru",https://dreamjob.ru/employers/30831?review_id=2031687
review2193814,Аналитик,Декабрь 2023,"['Работаю в компании', 'Стаж в компании: Меньше года', 'Москва']","['Своевременная оплата труда', 'Удобное расположение работы', 'Удаленная работа', 'Наличие кухни, места для обеда', 'Медицинское страхование', 'Оплата больничного', 'Профессиональное обучение', 'Система наставничества', 'Корпоративные мероприятия']","rating|5,5,5,5,5,5","Отличное место работы! Атмосфера и взаимоотношения в коллективе особенно радуют.
Работодатель заботится о сотрудниках. Возможность удаленной работы, ДМС, корпоративные мероприятия и прочие плюшки присутствуют.
В компании создаются условия и возможности для роста сотрудника (как профессиональных навыков, так и карьерного продвижения).<separator>ДМС начинает действовать только через год работы в компании. Было бы здорово, если оно было доступно после прохождения испытательного срока.",1,Декабрь 2023,Ответ представителя компании,"Добрый день!
Спасибо за оставленный отзыв. Мы прислушиваемся к вам и улучшаем взаимодействие внутри компании. Будем благодарны, если поделитесь более подробной информацией об условиях - anastasiya.ochkina@vseinstrumenti.ru",https://dreamjob.ru/employers/30831?review_id=2193814
review2193923,Оператор,Декабрь 2023,"['Работаю в компании', 'Стаж в компании: 1-2 года', 'Домодедово']",[],"rating|5,4,5,4,5,5","Трансфер, своевременная оплата труда, ДМС, спорт. Обучение внутри компании. Дружный коллектив.<separator>На складе зимой холодно, люди одеваются как капуста. Разрешили бы теплопушки рядом с рабочим местом. Корпоративное питание - еда стала невкусная, (хотя раньше возили намного лучше).
Мотивация, все вокруг растет в цене, а уровень зп все тот же.",0,Декабрь 2023,Ответ представителя компании,"Добрый день!
Спасибо за оставленный отзыв. Склад в г. Домодедово отапливается, если вы замерзаете, обратитесь к вашему руководителю для выдачи зимней рабочей одежды. Вы всегда можете оставить ваш отзыв по питанию в отдел уюта. Мы прислушиваемся к вам и улучшаем взаимодействие внутри компании. Будем благодарны, если поделитесь более подробной информацией об условиях - anastasiya.ochkina@vseinstrumenti.ru",https://dreamjob.ru/employers/30831?review_id=2193923
review2216697,Руководитель отдела,Декабрь 2023,"['Работаю в компании', 'Стаж в компании: 1-2 года', 'Москва']","['Своевременная оплата труда', 'Удобное расположение работы', 'Удаленная работа', 'Наличие кухни, места для обеда', 'Медицинское страхование', 'Оплата больничного', 'Гибкий рабочий график', 'Профессиональное обучение', 'Место для парковки', 'Система наставничества', 'Корпоративные мероприятия']","rating|5,5,5,5,5,5","В компании много возможностей для роста, регулярно переоценивается соответствие зарплат рыночному уровню, высокий уровень корпоративной культуры, отличный соц пакет<separator>Возможно, стоит пересмотреть подход к выдаче ДМС (сейчас для большинства сотрудников ДМС выдается после года работы) - возможно, стоит для всех офисных сотрудников (где меньше текучки) выдавать ДМС после прохождения испытательного",0,Январь 2024,Ответ представителя компании,"Добрый день!
Спасибо за оставленный отзыв. Мы прислушиваемся к вам и улучшаем взаимодействие внутри компании. Будем благодарны, если поделитесь более подробной информацией об условиях - anastasiya.ochkina@vseinstrumenti.ru",https://dreamjob.ru/employers/30831?review_id=2216697
review2424155,Менеджер по продажам,Март 2024,"['Бывший сотрудник', 'Стаж в компании: Меньше года', 'Ковров']","['Своевременная оплата труда', 'Удобное расположение работы', 'Удаленная работа', 'Наличие кухни, места для обеда', 'Оплата больничного', 'Гибкий рабочий график', 'Оплата транспортных расходов', 'Профессиональное обучение', 'Место для парковки', 'Система наставничества', 'Корпоративные мероприятия']","rating|5,5,5,4,5,4","Достойный уровень зп, близость к дому, мотивация, премии, обучение.<separator>График сделать удобнее в НИПе",0,,,,https://dreamjob.ru/employers/30831?review_id=2424155
review2422815,Менеджер по продажам,Март 2024,"['Работаю в компании', 'Стаж в компании: Меньше года', 'Москва']","['Своевременная оплата труда', 'Удобное расположение работы', 'Наличие кухни, места для обеда', 'Медицинское страхование', 'Оплата больничного', 'Гибкий рабочий график', 'Профессиональное обучение', 'Система наставничества', 'Корпоративные мероприятия']","rating|5,5,5,5,5,5","График
Близость к дому
Отличный коллектив и начальство
Комфортная зона отдыха
Отличные условия труда
Много плюшек)
Перспективы роста<separator>Все устраивает) пока-что нареканий нет",0,,,,https://dreamjob.ru/employers/30831?review_id=2422815
review2422604,Комплектовщик,Март 2024,"['Бывший сотрудник', 'Стаж в компании: Меньше года', 'Ступино']","['Своевременная оплата труда', 'Удобное расположение работы', 'Наличие кухни, места для обеда', 'Оплата больничного', 'Гибкий рабочий график', 'Компенсация питания', 'Корпоративный транспорт', 'Место для парковки']","rating|4,4,5,5,4,2","Организованная огромная компания, любят своих сотрудников, отдых и еда цивилизованно все, пахать конечно нужно как папа Карло, коллектив просто чудесный, приобрела много подруг, которых обожаю<separator>Оплату труда, чистоту на самом складе, нормы нереальные",0,,,,https://dreamjob.ru/employers/30831?review_id=2422604
review2420504,Менеджер по работе с клиентами,Март 2024,"['Работаю в компании', 'Стаж в компании: Меньше года', 'Москва']","['Своевременная оплата труда', 'Удаленная работа', 'Наличие кухни, места для обеда', 'Медицинское страхование', 'Оплата больничного', 'Гибкий рабочий график', 'Компенсация питания', 'Корпоративный транспорт', 'Профессиональное обучение', 'Место для парковки', 'Оплата мобильной связи', 'Система наставничества', 'Корпоративные мероприятия']","rating|5,5,5,5,4,3","Достойная ЗП, отличный коллектив<separator>Коммуникация между отделами",0,,,,https://dreamjob.ru/employers/30831?review_id=2420504
review2419912,Отзыв сотрудника,Март 2024,"['Работаю в компании', 'Стаж в компании: 1-2 года', 'Домодедово']","['Своевременная оплата труда', 'Удобное расположение работы', 'Наличие кухни, места для обеда', 'Медицинское страхование', 'Оплата больничного', 'Гибкий рабочий график', 'Компенсация питания', 'Корпоративный транспорт', 'Профессиональное обучение', 'Место для парковки', 'Корпоративные мероприятия']","rating|1,1,1,1,1,1","Близко к дому , рабочий транспорт. Удобный график, своевременная оплата труда<separator>Что бы руководство больше слышало людей",0,Март 2024,Ответ представителя компании,"Добрый день!
Спасибо за оставленный отзыв. Мы прислушиваемся к вам и улучшаем взаимодействие внутри компании. Будем благодарны, если поделитесь более подробной информацией об условиях - anastasiya.ochkina@vseinstrumenti.ru",https://dreamjob.ru/employers/30831?review_id=2419912
review2419825,Менеджер по продажам,Март 2024,"['Бывший сотрудник', 'Стаж в компании: Меньше года', 'Москва']","['Своевременная оплата труда', 'Удобное расположение работы', 'Медицинское страхование', 'Оплата больничного', 'Гибкий рабочий график', 'Профессиональное обучение', 'Система наставничества', 'Корпоративные мероприятия']","rating|5,5,5,5,5,5","Все отлично, явные возможности карьерного роста, достойное руководство<separator>Да вроде бы ничего, разве что добавить больше вариантов мотивации.",0,Март 2024,Ответ представителя компании,"Добрый день!
Спасибо за оставленный отзыв. Мы прислушиваемся к вам и улучшаем взаимодействие внутри компании. Будем благодарны, если поделитесь более подробной информацией об условиях - anastasiya.ochkina@vseinstrumenti.ru",https://dreamjob.ru/employers/30831?review_id=2419825
